calories,protein,fat,carbohydrates
238.0,28.6,11.9,4.76
372.0,20.9,30.2,2.33
286.0,25.0,17.9,3.57
91.0,4.56,4.56,8.71
395.0,18.6,27.9,20.9
167.0,14.3,7.14,4.76
442.0,16.3,30.2,27.9
406.0,25.0,31.2,6.25
357.0,25.0,28.6,3.57
393.0,25.0,32.1,3.57
393.0,25.0,32.1,3.57
395.0,18.6,23.3,25.6
419.0,16.3,27.9,23.3
419.0,18.6,25.6,27.9
393.0,21.4,32.1,3.57
395.0,25.6,32.1,2.33
812.0,6.49,11.8,15.6
372.0,18.6,25.6,27.9
442.0,16.3,30.2,23.3
1014.0000000000008,23.7,20.4,4.44
395.0,18.6,23.3,30.2
430.0,6.69,10.6,52.74000000000001
321.0,14.8,14.8,32.1
357.0,7.14,32.1,3.57
333.0,6.67,32.1,6.67
92.0,9.93,4.26,4.26
85.0,11.1,2.14,5.13
226.0,6.45,19.4,6.45
82.0,11.0,2.3,4.31
250.0,3.57,25.0,3.57
88.0,10.5,3.95,3.51
350.0,5.0,25.0,20.0
657.0,7.81,11.0,6.86
74.0,9.41,1.96,4.94
258.0,6.45,22.6,6.45
1014.0000000000008,9.15,22.8,3.59
258.0,6.45,22.6,6.45
161.0,8.06,11.3,9.68
93.0,12.7,4.0,2.0
67.0,10.2,1.36,3.6
100.0,2.94,0.88,19.4
85.6,2.96,0.633,17.5
88.0,3.53,1.18,15.9
358.0,4.93,1.25,13.8
127.0,3.0,3.6,21.6
84.7,2.94,0.917,16.2
85.0,8.12,0.14,12.7
105.0,8.17,2.57,12.3
75.0,2.5,2.08,12.1
90.0,2.97,0.634,18.1
331.0,7.28,0.23,11.9
100.0,8.24,1.47,8.24
88.0,3.53,1.18,14.7
84.5,2.94,0.921,15.6
325.0,8.64,0.18,10.4
83.0,8.06,0.15,12.2
93.0,8.0,0.67,12.7
88.0,3.53,1.18,14.7
81.0,4.34,1.03,13.68
86.4,3.42,0.144,17.9
73.0,8.0,2.0,6.67
35.0,5.29,0.88,2.35
93.0,7.22,1.71,12.2
385.0,7.75,1.47,11.9
390.0,8.26,1.83,10.9
45.1,2.94,0.165,8.61
667.0,16.7,32.1,13.3
82.8,2.94,0.92,16.0
398.0,8.64,2.5,9.54
81.0,7.65,0.22,12.0
58.0,4.58,0.83,8.33
73.0,9.95,1.92,3.94
93.0,8.0,1.67,12.0
79.0,3.39,1.13,13.6
101.0,5.05,3.03,12.1
88.0,3.54,3.54,10.6
62.0,3.54,0.88,10.6
106.0,4.71,1.76,17.6
85.0,3.39,1.41,15.2
94.0,2.35,1.18,18.2
94.0,2.35,1.18,18.8
108.0,2.37,5.61,12.91
62.0,3.39,0.9,10.2
182.0,3.79,1.02,4.77
